,tweet,calculated_sentiment,index,date,userID,airline,text,sentiment
0,highly recommend never flying ever poorest customer service dishonest flight attendants,-1,0,11/16/2020 19:06,1.33e+18,American,"I highly recommend never flying @AmericanAir EVER AGAIN.  Poorest customer service, Dishonest flight attendants, Th… https://t.co/y6G0mXE5pc",0
1,yesterday trouble however less hours later corporate customer service took,-1,1,11/17/2020 22:02,1.33e+18,American,"Yesterday I had some trouble with @AmericanAir, however LESS THAN 24 hours later Corporate Customer service took sw… https://t.co/CroB9ugmFI",0
2,last hours life draining amp traumatizing today got arrested first time,-1,2,11/14/2020 22:12,1.33e+18,American,"The last 6 hours of my life have been draining &amp; traumatizing. 

Today I got arrested for the first time because a… https://t.co/ZnqIWHyu1e",0
3,classic,1,3,11/17/2020 22:37,1.33e+18,American,@pbarbieri @AmericanAir Classic,0
4,lol dude literal flat earther check profile,0,5,11/17/2020 22:36,1.33e+18,American,"@MarcusTriton @KittyGOG @AmericanAir Lol, this dude is a literal flat Earther! Check his profile.",0
5,check interesting article,0,6,11/17/2020 22:36,1.33e+18,American,Check out this interesting article from @AmericanAir:  https://t.co/0mJp7cEyAk,0
6,muslim woman removed plane arrested refusing remove hijab eat shit,-1,8,11/17/2020 22:36,1.33e+18,American,"A Muslim woman was removed from a plane and arrested for refusing to remove her hijab. 

Eat shit, @AmericanAir.",0
7,cant breath youre wearing damn mask,-1,13,11/17/2020 22:29,1.33e+18,American,@KittyGOG @sjswitzer @AmericanAir You can't breath because you're wearing a damn mask.....,0
8,come good life,1,14,11/17/2020 22:29,1.33e+18,American,@ChuckCallesto @AmericanAir Come on over to the good life: @united,0
9,karen leave alone followed unedited live stre,-1,16,11/14/2020 22:11,1.33e+18,American,"@kayotickat @jumpropehijabi @AmericanAir @AMANI2020 Karen, you leave her alone. She followed an unedited, live stre… https://t.co/nrFn1u5wCI",0
10,miss traveling guys,-1,17,11/14/2020 22:11,1.33e+18,American,@AmericanAir I miss traveling with you guys 😕,0
11,responsible detainment muslim woman reported harassed,-1,18,11/14/2020 22:11,1.33e+18,American,"@AmericanAir is responsible for the detainment of a Muslim woman, who had reported being harassed. Once again... Th… https://t.co/vhUErDN3dw",0
12,ive consistently used aadvantage aviator silver card pandemic,0,19,11/14/2020 22:11,1.33e+18,American,Hi @Barclays I've consistently used my @AmericanAir #AAdvantage Aviator Silver card during the pandemic. So I'm not… https://t.co/5A2RQyYIki,0
13,appreciation post erj amp erj departing clt aviation,0,20,11/14/2020 22:11,1.33e+18,American,Appreciation post for the ERJ 140 &amp; ERJ-175 departing CLT @AmericanAir @envoyaircareers @RepublicAirways #aviation… https://t.co/0P7PQdqq6D,0
14,poorly managed boarding instead giving passengers covid paperwork fill,-1,22,11/14/2020 22:09,1.33e+18,American,@AmericanAir what a poorly managed de boarding. Instead of giving your passengers the covid paperwork to fill out o… https://t.co/UutfGoSQCD,0
15,hope get bottom charge firstclass passenger costs related karen,-1,25,11/14/2020 22:08,1.33e+18,American,@AmericanAir @AMANI2020 I hope you get to the bottom of this and charge the first-class passenger for the costs related to his being a Karen,0
16,,-1,29,11/14/2020 22:04,1.33e+18,American,@AMANI2020 @AmericanAir There has to be more to this,0
17,fair youre line taking long people ready,-1,32,11/14/2020 22:04,1.33e+18,American,"@irshad_laraib @AmericanAir @CAIRNewYork to be fair, if you're in line and taking to long, people that are ready ha… https://t.co/FYLd6ZG92W",0
18,sick shes taken away handcuffs theres reporting,-1,34,11/14/2020 22:03,1.33e+18,American,@dbbidwnr @AmericanAir @AMANI2020 Its sick that she's taken away in handcuffs and there's no reporting about what h… https://t.co/aRAJVIOJIl,0
19,hope get bottom racist incidentAT_USER subjected hate crime,-1,35,11/14/2020 22:03,1.33e+18,American,I hope @AmericanAir will get to the bottom of this racist incident-@AMANI2020 was subjected to hate crime on your 2… https://t.co/PHLZmxmCvg,0
20,self important entitled karen account exaggerated,-1,36,11/14/2020 22:03,1.33e+18,American,"@RobinMary18 @AMANI2020 @AmericanAir Self important, entitled Karen.

Her BS account is exaggerated",0
21,misunderstanding concerned held custody erroneously,-1,38,11/14/2020 22:01,1.33e+18,American,"@dbbidwnr @AmericanAir @AMANI2020 I'm not misunderstanding, I'm concerned she is being held in custody erroneously… https://t.co/XCb9XuVgwO",0
22,would could never check reality bro stay ignorant,-1,40,11/14/2020 21:56,1.33e+18,American,"@davis38332 @TravelDesigned @AmericanAir Would, could, should... Never check in reality, bro. Stay ignorant.",0
23,maskdanger fly unhealthy face mask,-1,41,11/14/2020 21:56,1.33e+18,American,@AmericanAir Mask=Danger  Do not fly with an unhealthy face mask,0
24,guys endorse racist people unless guys one,-1,42,11/14/2020 21:56,1.33e+18,American,@AmericanAir why are you guys endorse racist people unless you guys are one,0
25,stfu karen,-1,44,11/14/2020 21:54,1.33e+18,American,@kayotickat @jumpropehijabi @AmericanAir @AMANI2020 Stfu Karen,0
26,home,-1,47,11/14/2020 21:53,1.33e+18,American,@AmericanAir I am home,0
27,first class passenger pay flight airlines break even economy passengers,-1,48,11/14/2020 21:52,1.33e+18,American,"@AMANI2020 @AmericanAir First Class passenger pay for the flight.
Airlines break even on Economy passengers and the… https://t.co/AzVcTjTlZz",0
28,thank dont travel racist islamphobes airlines would rather walking,-1,50,11/14/2020 21:51,1.33e+18,American,"@AmericanAir No thank u, I don’t travel with racist islamphobes airlines, I would rather go walking",0
29,explain urself racist fvcks,-1,55,11/14/2020 21:49,1.33e+18,American,@yesjaketapia @AmericanAir @AmericanAir explain urself u racist fvcks,0
30,really swap whole ass plane everybody boarded switched gates like diffe,-1,67,11/14/2020 21:45,1.33e+18,American,@AmericanAir  really. You have to swap a whole ass plane  after everybody. Boarded  you switched gates like 3 diffe… https://t.co/zTaYswY9eg,0
