,tweet,calculated_sentiment
0,sucks,3
1,phone ghost typing weekend finally gone disable mode went help,1
2,think opening store stupid shit business point view,1
3,,3
4,ucsb joining pilot canotifywith smartphone technology amp get notified,5
5,make incense emoji thanks,1
6,,3
7,,3
8,owner apple airpod professional pros generation confirm audio,3
9,help keep gauchos safe smartphoneucsb joined voluntary pilot program uses tech,5
10,huge fan swiping away notifications mouse macosbigsur sayin,1
11,option facetime allows share screen live happy take shares oneoff payment,1
12,screen broke new phone needed dealing lot duck,1
13,cant get new phone finally trained old one stop autocorrecting duck,1
14,way auto correct replaces fuck duck even repeatedly going back correcting,1
15,put airpods ear charged dies minutes later,1
16,make reality rather apple watch please make new ipod,3
17,got new phone serious problem well,1
18,suck ass,1
19,aside wearing watch people carry one device,3
20,thats fact happens many times got ta fix,1
21,app scan peoples perfumes start working,1
22,date fou seum par contre make faster delivery really long,1
23,clay christensens theory disruption chipping away intel since intel passed building,5
24,latest max upgrade bricked imac suggest staying away big sir awhile,1
25,,3
26,trainers,3
27,please retweet tweet zamas boy lil someting check video,3
28,fold provides convenience narrow onehanded phone,1
29,good phone,1
30,omg mine coming weekcant wait got white one,1
31,ever since updated phone slow freezing time slowing old iphones,1
32,got infamous phishing email concerning alleged movie purchase never made escape room hit,1
33,nashville entry led nets former ceo gilamelio jerrydackerman,5
34,disappointed apple selling lemons defective mac book air purchased april given,1
35,,3
36,yall sexist fuck,1
37,group consist member filter country ensuring safety communication private,3
38,new video shot iphone,3
39,lets stop making new phones make maps app accurate,1
40,icons keep getting switch around kinda way dont like wtf got going,1
41,seriously new improved jerk motion,1
42,bootcamp,3
43,either twitter messed quality sold thing pro,1
44,probably years ago met much changed,1
45,battle nanometres started sure lot kind battles development,3
46,said either wait update remove beta version ios ret,3
47,yall make blunt emoji cig cuttin,1
48,purchase products wan na feel like investing future,1
49,installed macosbigsur safari still underdesigned product adjusted hours usage ratio,1
50,okay sean happened baby face getting old,1
51,cat emoji sunglasses,1
52,new samsung looking better day day nice colours goose suggestion,1
53,though fault googled discover tons complains broken screens tons reviews,5
54,yeah think set,1
55,automatic updates iphone work,1
56,got suspended yesterday,3
57,upgraded mini great experience magic keyboard fantastic,5
58,issues mum issue actually surveys ask customers opinio,1
59,even post simple applesupport question related horrendous customerservice store,1
60,told check settings friends said turn airplane,1
61,hour fucking thing keeps saying downloading update removed dow,1
62,still biryani cologne emoji come,1
63,strange bug bigsur dock hiding turns exit folder launchpad,1
64,shows top accept decline cant even conversation phone phone hos,1
65,airplane sound really appreciated sharing slides olds,1
66,say annoying since fone updates apple wen phone cut,1
67,birthday gifts getting closer going full apple products real soon operationprojectapple,1
68,please need facetime screen share,1
69,pls make find pencil feature ppl lose pencils day,1
70,would know feel,3
71,macbook retina screens fragile design got screen broken gentle pressure,1
72,real glad new macbook update drained battery minutes made fan sound like airplan,1
73,yall going make back button phone calculator,1
74,wow couldve phrased better,1
75,company uses products network phones employee quits need reset phone,1
76,leverage mobile solution platform evolve processes engage inform employees develop new ways,5
77,,3
78,ive irish siri since available,1
79,crappy camera,1
80,dropped phone feet air still hasnt broken keep mind havent case idk,1
81,would swiftui stage future,3
82,haha imagery amusing sorry struggle bought iphon,1
83,applications close november first appleentrepreneurcamp cohort blackfounders blackdevelopers,1
84,know platform sean right wingers asking,1
85,sometimes want run work cant change daily alarm wake instead,1
86,sexy bestie student loans see,5
87,yes sir,3
88,simply worst literally havent heard anything computer,1
89,would also like point callback rather pointless whe,3
90,macos big sur macbook pro awful broke half apps working,1
91,really hope theyre getting spam calls getting,1
92,knew customdesigned chips advanced bluetooth connectivity handling allowing,3
93,water resistant feature dropped phone pool minute works like brand new,1
94,good tho nice day,1
95,intel amd new player,1
96,made educated guesses issue could told would fix,1
97,beef mfs dont iphone shoutout,1
98,feeling issue left ear airpods pro doesnt connect alonly put ear,1
99,long unsatisfied consumer postAT_USER good side today understand tec,1
100,expensive,1
101,get rid emoji,1
102,always watching,3
103,attention shoppers catch live every saturday night pacific every friday nigh,1
104,surprising logic update,3
105,never understood give extreme time estimates simple updates,1
106,really loving new photos widget ios great reminder always,5
107,updated phone ios well guess tossed steve jobs simplistic visionary strategy window,3
108,figuring melting point spot market pricing aluminum steel brass copper dont ask let,5
109,fucking worst drove hour get item told need come back,1
110,use point,3
111,bigsur macos installation still fails daysAT_USER needs critical failure,1
112,totally upped game let copy amp paste computer iphone ipad like,1
113,right offence want fuck telling headphones loud every minutes,1
114,welcome,3
115,lol always call regular make sure blocked,1
116,berkeley launched covidnotify uses amp smartphonebased exposure notification,1
117,still disappointed didnt release new text tones ios,1
118,battery run away fastest usain bolt,1
119,finally decided switch applestore wont give iphone,3
120,blue one,3
121,dear please stop fucking phone already purchased iphone hasnt shipped yet,1
122,encountered something worrisome notes app big sur tried cut paste sentence one plac,1
123,uggh big sur horrible completely broken work computer thanks macos,1
124,fuck yall new logic pro update dat shit weak fuck,1
125,please bought new iphone pro max wife cant send receive texts anyone isnt iphone fix,1
126,incredible line includes folks work one themes,5
127,join keynote weds pst cloud native journey,1
128,hey everyone proud end user sponsors kubecon amazing see many coworkers pres,5
129,guy apperently decided give fucking pornography app one fresh new image,1
130,type twice means meant type,1
131,amen,3
132,three days call back lord knows long actual phones,1
133,new ios bugging sooo hard yesterday camera problems day couldnt answer calls toda,1
134,imessage able send files abeg files least,1
135,time earn extra cash mobile minutes,1
136,help,3
137,like big sur,1
138,king bazzinga,1
139,rted support,5
140,,3
141,find big sur sound effect drag file desktop reassuring done,5
142,thanks mrs flinn,5
143,damn keyboard fucking day,1
144,waiting update click facetime facetime voicemails,1
145,forgot mention great customer service offering,5
146,,3
147,cmon cant possible pass accessibility standards contrastreadability black hard enough,1
148,please change fast forward voice messages,1
149,kind ridiculous like tweet watch yet siri watch cant read weath,1
150,phone suddenly stopped vibrating notifications really dont know turn back,1
151,iphonepromax unresponsive screen update testing several cases amp surfaces discovered screen,3
152,congrats,5
153,anyone else issue someone steals phone arrives activates,1
