,text,timestamp,source,symbols,company_names,url,verified,cleaned_tweets,sentiment,date,perc_change,NextDay_perc_change,sector
0,VIDEO: “I was in my office. I was minding my own business...” –David Solomon tells $GS interns how he learned he wa… https://t.co/QClAITywXV,Wed Jul 18 21:33:26 +0000 2018,GoldmanSachs,GS,The Goldman Sachs,https://twitter.com/i/web/status/1019696670777503745,TRUE,video offic mind busi david solomon tell gs intern learn wa,0,7/18/2018,0.473440158,0.640385844,Financial Services
1,The price of lumber $LB_F is down 22% since hitting its YTD highs. The Macy's $M turnaround is still happening.… https://t.co/XnKsV4De39,Wed Jul 18 22:22:47 +0000 2018,StockTwits,M,Macy's,https://twitter.com/i/web/status/1019709091038547968,TRUE,price lumber lb f sinc hit ytd high maci turnaround still happen,0,7/18/2018,-1.425888136,-3.096052238,Consumer Cyclical
2,Who says the American Dream is dead? https://t.co/CRgx19x7sA,Wed Jul 18 22:32:01 +0000 2018,TheStreet,AIG,American,https://buff.ly/2L3kmc4,TRUE,say american dream dead,-1,7/18/2018,-0.859863194,1.912573812,Financial Services
3,Barry Silbert is extremely optimistic on bitcoin -- but predicts that 99% of new crypto entrants are “going to zero… https://t.co/mGMVo2cZgY,Wed Jul 18 22:52:52 +0000 2018,MarketWatch,BTC,Bitcoin,https://twitter.com/i/web/status/1019716662587740160,TRUE,barri silbert extrem optimist bitcoin predict new crypto entrant go zero,1,7/18/2018,,,
4,How satellites avoid attacks and space junk while circling the Earth https://t.co/aHzIV3Lqp5 #paid @Oracle https://t.co/kacpqZWiDJ,Wed Jul 18 23:00:01 +0000 2018,Forbes,ORCL,Oracle,http://on.forbes.com/6013DqDDU,TRUE,satellit avoid attack space junk circl earth paid,-1,7/18/2018,0.307443171,-0.082638635,Technology
5,.@RealMoney's David Butler's favorite FANG stock isn't #RealMoneySOD Alphabet but Facebook https://t.co/MczAPSFjOi,Wed Jul 18 23:04:00 +0000 2018,jimcramer,FB-GOOGL-GOOG,Facebook*Alphabet*Alphabet,http://bit.ly/2NrYxje,TRUE,david butler favorit fang stock realmoneysod alphabet facebook,0,7/18/2018,,,
6,Don’t miss my convo with one of my favorite thinkers @SamHarrisOrg! https://t.co/uuPVxIobCh,Wed Jul 18 23:06:58 +0000 2018,ianbremmer,HRS,Harris,https://twitter.com/samharrisorg/status/1019719376348434433,TRUE,miss convo one favorit thinker,0,7/18/2018,,,
7,U.S. intelligence documents on Nelson Mandela made public https://t.co/XTnEfo1rO6 https://t.co/V8DXkWDQ6R,Wed Jul 18 23:08:45 +0000 2018,Reuters,INTC-USB,Intel*U.S.,https://reut.rs/2O0ypNf,TRUE,u intellig document nelson mandela made public,0,7/18/2018,,,
8,Senate wants emergency alerts to go out through Netflix Spotify etc. https://t.co/23yy3whBlc by @grg,Wed Jul 18 23:09:00 +0000 2018,TechCrunch,NFLX,Netflix,https://tcrn.ch/2L8DsgT,TRUE,senat want emerg alert go netflix spotifi etc,1,7/18/2018,1.602661187,1.840669061,Communication Services
9,Hedge fund manager Marc Larsy says bitcoin $40K is possible https://t.co/54uPe0OWqT,Wed Jul 18 23:10:41 +0000 2018,MarketWatch,BTC,Bitcoin,https://on.mktw.net/2Ntr7k9,TRUE,hedg fund manag marc larsi say bitcoin k possibl,0,7/18/2018,,,
10,U.S. proposes expedited appeal in fight with AT&amp;T over Time Warner purchase https://t.co/BtjhzdE3Nu https://t.co/Gh32ZJ4vPO,Wed Jul 18 23:18:36 +0000 2018,Reuters,TWX,Time Warner,https://reut.rs/2O1Ao46,TRUE,u propos expedit appeal fight amp time warner purchas,-1,7/18/2018,,,
11,Roger Federer's Uniqlo deal makes him one of the few athletes to earn more than $70M from endorsements… https://t.co/jQ8sOAyeBQ,Wed Jul 18 23:21:00 +0000 2018,Forbes,ENDP,Endo,https://twitter.com/i/web/status/1019723744804245504,TRUE,roger feder uniqlo deal make one athlet earn endors,0,7/18/2018,-2.001822308,-0.718132148,Healthcare
12,Bond traders are ahead of Jerome Powell when it comes to inflation expectations https://t.co/DkdZLcy3mT via… https://t.co/UCX7EiHP4r,Wed Jul 18 23:21:27 +0000 2018,business,HPQ,HP,https://bloom.bg/2zSKhOu,TRUE,bond trader ahead jerom powel come inflat expect via,0,7/18/2018,0.296608872,0.897432,Technology
